grammar, P1=0, P1=1, P1=*, P1=~, P2=0, P2=1, P2=*, P2=~, P3=0, P3=1, P3=*, P3=~, P4=0, P4=1, P4=*, P4=~, P5=0, P5=1, P5=*, P5=~, P6=0, P6=1, P6=*, P6=~, P7=0, P7=1, P7=*, P7=~, P8=0, P8=1, P8=*, P8=~, P9=0, P9=1, P9=*, P9=~, P10=0, P10=1, P10=*, P10=~, P11=0, P11=1, P11=*, P11=~, P12=0, P12=1, P12=*, P12=~, P13=0, P13=1, P13=*, P13=~
132, 942, 0, 36, 252, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 504, 678, 48, 0, 108, 1074, 0, 48, 609, 573, 648, 0, 0, 582, 81, 0, 21, 1128, 438, 0, 36, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
133, 942, 0, 36, 252, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 504, 678, 48, 0, 108, 1074, 0, 48, 609, 573, 648, 0, 0, 582, 81, 0, 21, 1128, 438, 0, 36, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
134, 942, 0, 36, 252, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 504, 678, 48, 0, 108, 1074, 0, 48, 609, 573, 648, 0, 0, 582, 81, 0, 21, 1128, 438, 0, 36, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
135, 942, 0, 36, 252, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 504, 678, 48, 0, 108, 1074, 0, 48, 609, 573, 648, 0, 0, 582, 81, 0, 21, 1128, 438, 0, 36, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
140, 1850, 0, 87, 535, 2250, 0, 15, 207, 2228, 0, 182, 62, 96, 0, 1011, 1365, 96, 0, 240, 2136, 0, 96, 1245, 1131, 1296, 0, 1, 1175, 162, 0, 42, 2268, 873, 0, 75, 1524, 0, 1164, 54, 1254, 0, 525, 1887, 60, 1164, 0, 54, 1254, 0, 0, 1704, 768
141, 1850, 0, 87, 535, 2250, 0, 15, 207, 2228, 0, 182, 62, 96, 0, 1011, 1365, 96, 0, 240, 2136, 0, 96, 1245, 1131, 1296, 0, 1, 1175, 162, 0, 42, 2268, 873, 0, 75, 1524, 0, 1164, 54, 1254, 0, 525, 1887, 60, 1164, 0, 54, 1254, 0, 0, 1704, 768
148, 942, 0, 0, 288, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 468, 714, 48, 0, 108, 1074, 0, 48, 576, 606, 648, 0, 0, 582, 81, 0, 18, 1131, 0, 474, 0, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
149, 942, 0, 0, 288, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 468, 714, 48, 0, 108, 1074, 0, 48, 576, 606, 648, 0, 0, 582, 81, 0, 18, 1131, 0, 474, 0, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
150, 942, 0, 0, 288, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 468, 714, 48, 0, 108, 1074, 0, 48, 576, 606, 648, 0, 0, 582, 81, 0, 18, 1131, 0, 474, 0, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
151, 942, 0, 0, 288, 1195, 0, 2, 33, 1122, 0, 72, 36, 48, 0, 468, 714, 48, 0, 108, 1074, 0, 48, 576, 606, 648, 0, 0, 582, 81, 0, 18, 1131, 0, 474, 0, 756, 0, 0, 0, 1230, 0, 270, 924, 36, 0, 0, 0, 1230, 0, 0, 852, 378
156, 1850, 0, 15, 607, 2250, 0, 13, 209, 2228, 0, 180, 64, 96, 0, 936, 1440, 96, 0, 240, 2136, 0, 96, 1176, 1200, 1296, 0, 0, 1176, 162, 0, 36, 2274, 0, 948, 0, 1524, 0, 1164, 54, 1254, 0, 525, 1887, 60, 1164, 0, 54, 1254, 0, 0, 1704, 768
157, 1850, 0, 15, 607, 2250, 0, 13, 209, 2228, 0, 180, 64, 96, 0, 936, 1440, 96, 0, 240, 2136, 0, 96, 1176, 1200, 1296, 0, 0, 1176, 162, 0, 36, 2274, 0, 948, 0, 1524, 0, 1164, 54, 1254, 0, 525, 1887, 60, 1164, 0, 54, 1254, 0, 0, 1704, 768
164, 780, 0, 36, 252, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 297, 660, 111, 0, 108, 849, 0, 111, 402, 555, 564, 0, 0, 504, 0, 144, 3, 921, 438, 0, 36, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
165, 780, 0, 36, 252, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 297, 660, 111, 0, 108, 849, 0, 111, 402, 555, 564, 0, 0, 504, 0, 144, 3, 921, 438, 0, 36, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
166, 780, 0, 36, 252, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 297, 660, 111, 0, 108, 849, 0, 111, 402, 555, 564, 0, 0, 504, 0, 144, 3, 921, 438, 0, 36, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
167, 780, 0, 36, 252, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 297, 660, 111, 0, 108, 849, 0, 111, 402, 555, 564, 0, 0, 504, 0, 144, 3, 921, 438, 0, 36, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
172, 1541, 0, 80, 527, 1997, 0, 15, 136, 1911, 0, 175, 62, 222, 0, 597, 1329, 222, 0, 240, 1686, 0, 222, 831, 1095, 1128, 0, 1, 1019, 0, 288, 6, 1854, 873, 0, 75, 1200, 0, 1009, 47, 1092, 0, 412, 1676, 60, 1009, 0, 47, 1092, 0, 0, 1500, 648
173, 1541, 0, 80, 527, 1997, 0, 15, 136, 1911, 0, 175, 62, 222, 0, 597, 1329, 222, 0, 240, 1686, 0, 222, 831, 1095, 1128, 0, 1, 1019, 0, 288, 6, 1854, 873, 0, 75, 1200, 0, 1009, 47, 1092, 0, 412, 1676, 60, 1009, 0, 47, 1092, 0, 0, 1500, 648
180, 780, 0, 0, 288, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 261, 696, 111, 0, 108, 849, 0, 111, 369, 588, 564, 0, 0, 504, 0, 144, 0, 924, 0, 474, 0, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
181, 780, 0, 0, 288, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 261, 696, 111, 0, 108, 849, 0, 111, 369, 588, 564, 0, 0, 504, 0, 144, 0, 924, 0, 474, 0, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
182, 780, 0, 0, 288, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 261, 696, 111, 0, 108, 849, 0, 111, 369, 588, 564, 0, 0, 504, 0, 144, 0, 924, 0, 474, 0, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
183, 780, 0, 0, 288, 1045, 0, 2, 21, 960, 0, 72, 36, 111, 0, 261, 696, 111, 0, 108, 849, 0, 111, 369, 588, 564, 0, 0, 504, 0, 144, 0, 924, 0, 474, 0, 594, 0, 0, 0, 1068, 0, 210, 822, 36, 0, 0, 0, 1068, 0, 0, 750, 318
188, 1541, 0, 8, 599, 1997, 0, 13, 138, 1911, 0, 173, 64, 222, 0, 522, 1404, 222, 0, 240, 1686, 0, 222, 762, 1164, 1128, 0, 0, 1020, 0, 288, 0, 1860, 0, 948, 0, 1200, 0, 1009, 47, 1092, 0, 412, 1676, 60, 1009, 0, 47, 1092, 0, 0, 1500, 648
189, 1541, 0, 8, 599, 1997, 0, 13, 138, 1911, 0, 173, 64, 222, 0, 522, 1404, 222, 0, 240, 1686, 0, 222, 762, 1164, 1128, 0, 0, 1020, 0, 288, 0, 1860, 0, 948, 0, 1200, 0, 1009, 47, 1092, 0, 412, 1676, 60, 1009, 0, 47, 1092, 0, 0, 1500, 648
196, 438, 0, 36, 108, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 222, 348, 12, 0, 36, 534, 0, 12, 255, 315, 0, 0, 0, 582, 36, 0, 9, 537, 180, 0, 36, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
197, 438, 0, 36, 108, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 222, 348, 12, 0, 36, 534, 0, 12, 255, 315, 0, 0, 0, 582, 36, 0, 9, 537, 180, 0, 36, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
198, 438, 0, 36, 108, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 222, 348, 12, 0, 36, 534, 0, 12, 255, 315, 0, 0, 0, 582, 36, 0, 9, 537, 180, 0, 36, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
199, 438, 0, 36, 108, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 222, 348, 12, 0, 36, 534, 0, 12, 255, 315, 0, 0, 0, 582, 36, 0, 9, 537, 180, 0, 36, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
204, 854, 0, 87, 235, 1038, 0, 15, 123, 932, 0, 182, 62, 24, 0, 447, 705, 24, 0, 96, 1056, 0, 24, 537, 615, 0, 0, 1, 1175, 72, 0, 18, 1086, 357, 0, 75, 744, 0, 516, 54, 606, 0, 525, 591, 60, 516, 0, 54, 606, 0, 0, 408, 768
205, 854, 0, 87, 235, 1038, 0, 15, 123, 932, 0, 182, 62, 24, 0, 447, 705, 24, 0, 96, 1056, 0, 24, 537, 615, 0, 0, 1, 1175, 72, 0, 18, 1086, 357, 0, 75, 744, 0, 516, 54, 606, 0, 525, 591, 60, 516, 0, 54, 606, 0, 0, 408, 768
212, 438, 0, 0, 144, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 186, 384, 12, 0, 36, 534, 0, 12, 222, 348, 0, 0, 0, 582, 36, 0, 6, 540, 0, 216, 0, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
213, 438, 0, 0, 144, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 186, 384, 12, 0, 36, 534, 0, 12, 222, 348, 0, 0, 0, 582, 36, 0, 6, 540, 0, 216, 0, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
214, 438, 0, 0, 144, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 186, 384, 12, 0, 36, 534, 0, 12, 222, 348, 0, 0, 0, 582, 36, 0, 6, 540, 0, 216, 0, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
215, 438, 0, 0, 144, 558, 0, 2, 22, 474, 0, 72, 36, 12, 0, 186, 384, 12, 0, 36, 534, 0, 12, 222, 348, 0, 0, 0, 582, 36, 0, 6, 540, 0, 216, 0, 366, 0, 0, 0, 582, 0, 270, 276, 36, 0, 0, 0, 582, 0, 0, 204, 378
